# schemix benchmark results — v0.3.0 with blob type-check fast path
#
# Commit:  90c1c42+ (branch feat/api-surface-p0, uncommitted perf changes)
# Date:    2026-08-30
# Command: go test -run='^$' -bench=. -benchmem -count=6 .
#
# Same flags the CI benchmark gate uses, so this file can be fed straight to
# benchstat against a CI run:
#
#     benchstat bench_v0.3.0.txt bench_head.txt
#
# Six samples per benchmark. Read allocations rather than timings when judging a
# change: on a laptop the ns/op figures move by double digits between runs, while
# the allocation counts are deterministic.
#
# Key changes from the previous snapshot:
#   - checkBlobResultType uses a Go type switch for scalar @blob results
#     instead of CUE Encode+Unify+Validate (Process_Valid: 81 → 17 allocs)
#   - path.go helpers use strings.IndexByte instead of strings.Split
#
# Numbers are not comparable to the pre-optimisation snapshot that carried the
# same filename. The allocation counts dropped by 64 on the hot path.

goos: darwin
goarch: arm64
pkg: github.com/mredencom/schemix
cpu: Apple M4
BenchmarkNew-10                             	    2791	    430089 ns/op	  830947 B/op	   22423 allocs/op
BenchmarkNew-10                             	    2810	    429246 ns/op	  830921 B/op	   22422 allocs/op
BenchmarkNew-10                             	    2773	    431873 ns/op	  830924 B/op	   22422 allocs/op
BenchmarkNew-10                             	    2770	    433804 ns/op	  830935 B/op	   22422 allocs/op
BenchmarkNew-10                             	    2760	    438229 ns/op	  830943 B/op	   22422 allocs/op
BenchmarkNew-10                             	    2629	    434862 ns/op	  830937 B/op	   22422 allocs/op
BenchmarkProcess_Valid-10                   	 1724340	       696.4 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Valid-10                   	 1723048	       696.2 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Valid-10                   	 1726606	       695.6 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Valid-10                   	 1718274	       697.7 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Valid-10                   	 1712712	       699.3 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Valid-10                   	 1721265	       694.6 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_WithMetrics-10             	 1274781	       941.2 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_WithMetrics-10             	 1265674	       947.9 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_WithMetrics-10             	 1273044	       943.4 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_WithMetrics-10             	 1267094	       947.7 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_WithMetrics-10             	 1270290	       944.4 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_WithMetrics-10             	 1274756	       941.8 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcessContext_NoopTracer-10       	 1545954	       776.5 ns/op	     776 B/op	      20 allocs/op
BenchmarkProcessContext_NoopTracer-10       	 1542098	       778.2 ns/op	     776 B/op	      20 allocs/op
BenchmarkProcessContext_NoopTracer-10       	 1538224	       779.8 ns/op	     776 B/op	      20 allocs/op
BenchmarkProcessContext_NoopTracer-10       	 1539844	       780.0 ns/op	     776 B/op	      20 allocs/op
BenchmarkProcessContext_NoopTracer-10       	 1535118	       782.0 ns/op	     776 B/op	      20 allocs/op
BenchmarkProcessContext_NoopTracer-10       	 1535896	       782.3 ns/op	     776 B/op	      20 allocs/op
BenchmarkProcessContext_NoTracer-10         	 1703301	       704.4 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcessContext_NoTracer-10         	 1700678	       704.2 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcessContext_NoTracer-10         	 1701463	       704.3 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcessContext_NoTracer-10         	 1706758	       701.8 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcessContext_NoTracer-10         	 1722296	       695.9 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcessContext_NoTracer-10         	 1726676	       694.6 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Invalid-10                 	  785913	      1534 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_Invalid-10                 	  774603	      1540 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_Invalid-10                 	  774218	      1547 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_Invalid-10                 	  782022	      1552 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_Invalid-10                 	  777501	      1549 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_Invalid-10                 	  771459	      1554 ns/op	    2041 B/op	      33 allocs/op
BenchmarkValidate_Valid-10                  	 2243560	       536.0 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_Valid-10                  	 2227284	       538.4 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_Valid-10                  	 2202690	       552.7 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_Valid-10                  	 2099643	       569.4 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_Valid-10                  	 2144386	       549.1 ns/op	     360 B/op	      15 allocs/op
BenchmarkValidate_Valid-10                  	 2218214	       541.6 ns/op	     360 B/op	      15 allocs/op
BenchmarkProcess_FailFast-10                \t 4386993	       272.6 ns/op	     528 B/op	       5 allocs/op
BenchmarkProcess_FailFast-10                	 4380468	       274.1 ns/op	     528 B/op	       5 allocs/op
BenchmarkProcess_FailFast-10                	 4358472	       276.1 ns/op	     528 B/op	       5 allocs/op
BenchmarkProcess_FailFast-10                	 4353268	       275.8 ns/op	     528 B/op	       5 allocs/op
BenchmarkProcess_FailFast-10                	 4339683	       275.8 ns/op	     528 B/op	       5 allocs/op
BenchmarkProcess_FailFast-10                	 4345407	       276.2 ns/op	     528 B/op	       5 allocs/op
BenchmarkProcess_FailAll-10                 	  777986	      1539 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_FailAll-10                 	  795262	      1543 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_FailAll-10                 	  762777	      1548 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_FailAll-10                 	  778634	      1552 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_FailAll-10                 	  767786	      1548 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_FailAll-10                 	  781879	      1543 ns/op	    2041 B/op	      33 allocs/op
BenchmarkProcess_Nested-10                  	   47655	     24946 ns/op	   37083 B/op	     382 allocs/op
BenchmarkProcess_Nested-10                  	   47918	     24907 ns/op	   37052 B/op	     382 allocs/op
BenchmarkProcess_Nested-10                  	   48201	     24911 ns/op	   37043 B/op	     382 allocs/op
BenchmarkProcess_Nested-10                  	   48112	     24997 ns/op	   37106 B/op	     382 allocs/op
BenchmarkProcess_Nested-10                  	   47944	     24993 ns/op	   37068 B/op	     382 allocs/op
BenchmarkProcess_Nested-10                  	   48135	     24969 ns/op	   37101 B/op	     382 allocs/op
BenchmarkValidate_ScalarList/elements_1-10  	15842968	        75.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_1-10  	15826740	        75.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_1-10  	15843718	        75.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_1-10  	15821150	        75.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_1-10  	15834832	        75.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_1-10  	15851349	        75.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_10-10 	 3523796	       339.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_10-10 	 3535203	       339.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_10-10 	 3544497	       338.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_10-10 	 3550615	       338.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_10-10 	 3532671	       339.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate_ScalarList/elements_10-10 	 3552806	       338.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkProcess_Meta-10                    	 2171193	       552.6 ns/op	     456 B/op	       7 allocs/op
BenchmarkProcess_Meta-10                    	 2172190	       552.9 ns/op	     456 B/op	       7 allocs/op
BenchmarkProcess_Meta-10                    	 2168503	       553.3 ns/op	     456 B/op	       7 allocs/op
BenchmarkProcess_Meta-10                    	 2170594	       552.3 ns/op	     456 B/op	       7 allocs/op
BenchmarkProcess_Meta-10                    	 2176297	       551.5 ns/op	     456 B/op	       7 allocs/op
BenchmarkProcess_Meta-10                    	 2174961	       551.7 ns/op	     456 B/op	       7 allocs/op
BenchmarkProcess_FailPriority-10            	  946207	      1272 ns/op	    1722 B/op	      19 allocs/op
BenchmarkProcess_FailPriority-10            	  940315	      1274 ns/op	    1722 B/op	      19 allocs/op
BenchmarkProcess_FailPriority-10            	  932636	      1273 ns/op	    1722 B/op	      19 allocs/op
BenchmarkProcess_FailPriority-10            	  936588	      1276 ns/op	    1722 B/op	      19 allocs/op
BenchmarkProcess_FailPriority-10            	  927412	      1275 ns/op	    1722 B/op	      19 allocs/op
BenchmarkProcess_FailPriority-10            	  951600	      1275 ns/op	    1722 B/op	      19 allocs/op
BenchmarkDeepCopy_Small-10                  	 9314967	       127.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkDeepCopy_Small-10                  	 9356235	       128.1 ns/op	     336 B/op	       2 allocs/op
BenchmarkDeepCopy_Small-10                  	 9329802	       128.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkDeepCopy_Small-10                  	 9354211	       128.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkDeepCopy_Small-10                  	 9413344	       128.5 ns/op	     336 B/op	       2 allocs/op
